idblk,row,col,xpos,ypos,ncol_per_row,is_on_edge
493,22,25,0.50637,0.52108,27,0
494,22,26,0.50637,0.56401,27,1
495,23,0,0.46344,-0.56507,27,1
496,23,1,0.46344,-0.52215,27,0
497,23,2,0.46344,-0.47922,27,0
498,23,3,0.46344,-0.43467,27,0
499,23,4,0.46344,-0.39174,27,0
500,23,5,0.46344,-0.34882,27,0
501,23,6,0.46344,-0.30427,27,0
502,23,7,0.46344,-0.26134,27,0
503,23,8,0.46344,-0.21842,27,0
504,23,9,0.46344,-0.17386,27,0
505,23,10,0.46344,-0.13094,27,0
506,23,11,0.46344,-0.08801,27,0
507,23,12,0.46344,-0.04346,27,0
508,23,13,0.46344,-0.00053,27,0
509,23,14,0.46344,0.04239,27,0
510,23,15,0.46344,0.08694,27,0
511,23,16,0.46344,0.12987,27,0
512,23,17,0.46344,0.1728,27,0
513,23,18,0.46344,0.21735,27,0
514,23,19,0.46344,0.26027,27,0
515,23,20,0.46344,0.3032,27,0
516,23,21,0.46344,0.34775,27,0
517,23,22,0.46344,0.39068,27,0
518,23,23,0.46344,0.4336,27,0
519,23,24,0.46344,0.47815,27,0
520,23,25,0.46344,0.52108,27,0
521,23,26,0.46344,0.56401,27,1
522,24,0,0.42051,-0.56507,27,1
523,24,1,0.42051,-0.52215,27,0
524,24,2,0.42051,-0.47922,27,0
525,24,3,0.42051,-0.43467,27,0
526,24,4,0.42051,-0.39174,27,0
527,24,5,0.42051,-0.34882,27,0
528,24,6,0.42051,-0.30427,27,0
529,24,7,0.42051,-0.26134,27,0
530,24,8,0.42051,-0.21842,27,0
531,24,9,0.42051,-0.17386,27,0
532,24,10,0.42051,-0.13094,27,0
533,24,11,0.42051,-0.08801,27,0
534,24,12,0.42051,-0.04346,27,0
535,24,13,0.42051,-0.00053,27,0
536,24,14,0.42051,0.04239,27,0
537,24,15,0.42051,0.08694,27,0
538,24,16,0.42051,0.12987,27,0
539,24,17,0.42051,0.1728,27,0
540,24,18,0.42051,0.21735,27,0
541,24,19,0.42051,0.26027,27,0
542,24,20,0.42051,0.3032,27,0
543,24,21,0.42051,0.34775,27,0
544,24,22,0.42051,0.39068,27,0
545,24,23,0.42051,0.4336,27,0
546,24,24,0.42051,0.47815,27,0
547,24,25,0.42051,0.52108,27,0
548,24,26,0.42051,0.56401,27,1
549,25,0,0.37759,-0.56507,27,1
550,25,1,0.37759,-0.52215,27,0
551,25,2,0.37759,-0.47922,27,0
552,25,3,0.37759,-0.43467,27,0
553,25,4,0.37759,-0.39174,27,0
554,25,5,0.37759,-0.34882,27,0
555,25,6,0.37759,-0.30427,27,0
556,25,7,0.37759,-0.26134,27,0
557,25,8,0.37759,-0.21842,27,0
558,25,9,0.37759,-0.17386,27,0
559,25,10,0.37759,-0.13094,27,0
560,25,11,0.37759,-0.08801,27,0
561,25,12,0.37759,-0.04346,27,0
562,25,13,0.37759,-0.00053,27,0
563,25,14,0.37759,0.04239,27,0
564,25,15,0.37759,0.08694,27,0
565,25,16,0.37759,0.12987,27,0
566,25,17,0.37759,0.1728,27,0
567,25,18,0.37759,0.21735,27,0
568,25,19,0.37759,0.26027,27,0
569,25,20,0.37759,0.3032,27,0
570,25,21,0.37759,0.34775,27,0
571,25,22,0.37759,0.39068,27,0
572,25,23,0.37759,0.4336,27,0
573,25,24,0.37759,0.47815,27,0
574,25,25,0.37759,0.52108,27,0
575,25,26,0.37759,0.56401,27,1
576,26,0,0.33466,-0.56507,27,1
577,26,1,0.33466,-0.52215,27,0
578,26,2,0.33466,-0.47922,27,0
579,26,3,0.33466,-0.43467,27,0
580,26,4,0.33466,-0.39174,27,0
581,26,5,0.33466,-0.34882,27,0
582,26,6,0.33466,-0.30427,27,0
583,26,7,0.33466,-0.26134,27,0
584,26,8,0.33466,-0.21842,27,0
585,26,9,0.33466,-0.17386,27,0
586,26,10,0.33466,-0.13094,27,0
587,26,11,0.33466,-0.08801,27,0
588,26,12,0.33466,-0.04346,27,0
589,26,13,0.33466,-0.00053,27,0
590,26,14,0.33466,0.04239,27,0
591,26,15,0.33466,0.08694,27,0
592,26,16,0.33466,0.12987,27,0
593,26,17,0.33466,0.1728,27,0
594,26,18,0.33466,0.21735,27,0
595,26,19,0.33466,0.26027,27,0
596,26,20,0.33466,0.3032,27,0
597,26,21,0.33466,0.34775,27,0
598,26,22,0.33466,0.39068,27,0
599,26,23,0.33466,0.4336,27,0
600,26,24,0.33466,0.47815,27,0
601,26,25,0.33466,0.52108,27,0
602,26,26,0.33466,0.56401,27,1
603,27,0,0.29174,-0.56507,27,1
604,27,1,0.29174,-0.52215,27,0
605,27,2,0.29174,-0.47922,27,0
606,27,3,0.29174,-0.43467,27,0
607,27,4,0.29174,-0.39174,27,0
608,27,5,0.29174,-0.34882,27,0
609,27,6,0.29174,-0.30427,27,0
610,27,7,0.29174,-0.26134,27,0
611,27,8,0.29174,-0.21842,27,0
612,27,9,0.29174,-0.17386,27,0
613,27,10,0.29174,-0.13094,27,0
614,27,11,0.29174,-0.08801,27,0
615,27,12,0.29174,-0.04346,27,0
616,27,13,0.29174,-0.00053,27,0
617,27,14,0.29174,0.04239,27,0
618,27,15,0.29174,0.08694,27,0
619,27,16,0.29174,0.12987,27,0
620,27,17,0.29174,0.1728,27,0
621,27,18,0.29174,0.21735,27,0
622,27,19,0.29174,0.26027,27,0
623,27,20,0.29174,0.3032,27,0
624,27,21,0.29174,0.34775,27,0
625,27,22,0.29174,0.39068,27,0
626,27,23,0.29174,0.4336,27,0
627,27,24,0.29174,0.47815,27,0
628,27,25,0.29174,0.52108,27,0
629,27,26,0.29174,0.56401,27,1
630,28,0,0.24881,-0.56507,27,1
631,28,1,0.24881,-0.52215,27,0
632,28,2,0.24881,-0.47922,27,0
633,28,3,0.24881,-0.43467,27,0
634,28,4,0.24881,-0.39174,27,0
635,28,5,0.24881,-0.34882,27,0
636,28,6,0.24881,-0.30427,27,0
637,28,7,0.24881,-0.26134,27,0
638,28,8,0.24881,-0.21842,27,0
639,28,9,0.24881,-0.17386,27,0
640,28,10,0.24881,-0.13094,27,0
641,28,11,0.24881,-0.08801,27,0
642,28,12,0.24881,-0.04346,27,0
643,28,13,0.24881,-0.00053,27,0
644,28,14,0.24881,0.04239,27,0
645,28,15,0.24881,0.08694,27,0
646,28,16,0.24881,0.12987,27,0
647,28,17,0.24881,0.1728,27,0
648,28,18,0.24881,0.21735,27,0
649,28,19,0.24881,0.26027,27,0
650,28,20,0.24881,0.3032,27,0
651,28,21,0.24881,0.34775,27,0
652,28,22,0.24881,0.39068,27,0
653,28,23,0.24881,0.4336,27,0
654,28,24,0.24881,0.47815,27,0
655,28,25,0.24881,0.52108,27,0
656,28,26,0.24881,0.56401,27,1
657,29,0,0.20588,-0.56507,27,1
658,29,1,0.20588,-0.52215,27,0
659,29,2,0.20588,-0.47922,27,0
660,29,3,0.20588,-0.43467,27,0
661,29,4,0.20588,-0.39174,27,0
662,29,5,0.20588,-0.34882,27,0
663,29,6,0.20588,-0.30427,27,0
664,29,7,0.20588,-0.26134,27,0
665,29,8,0.20588,-0.21842,27,0
666,29,9,0.20588,-0.17386,27,0
667,29,10,0.20588,-0.13094,27,0
668,29,11,0.20588,-0.08801,27,0
669,29,12,0.20588,-0.04346,27,0
